iteration,exp4,exp5,exp6,exp7,exp8,exp9,exp10
148,0.103465552,0.082910316,0.063339985,0.050509536,0.039471483,0.029877619,0.024466186
149,0.103465953,0.082909958,0.063339239,0.050508669,0.039470635,0.029876878,0.02446556
150,0.103466259,0.082909315,0.063338308,0.050507719,0.039469787,0.029876138,0.024464935
151,0.103466805,0.082908797,0.063337377,0.050506878,0.03946894,0.029875397,0.024464311
152,0.103467268,0.082908191,0.063336511,0.050505929,0.039468092,0.029874656,0.024463686
153,0.103467276,0.082907591,0.063335747,0.050504979,0.039467244,0.029873916,0.024463061
154,0.103468137,0.082907035,0.063334883,0.050504152,0.039466397,0.029873176,0.024462436
155,0.103469119,0.082906896,0.063334406,0.050503414,0.039465739,0.029872435,0.024461811
156,0.103469127,0.082906282,0.063333484,0.050502465,0.039464892,0.029871695,0.024461186
157,0.103469791,0.082905837,0.06333267,0.050501516,0.039464044,0.029870955,0.024460561
158,0.103470049,0.082905115,0.063331748,0.050500566,0.039463197,0.029870214,0.024459937
159,0.103470331,0.082904614,0.063330949,0.050499617,0.039462349,0.029869474,0.024459312
160,0.103470569,0.082904247,0.063330027,0.050498745,0.039461502,0.029868734,0.024458688
161,0.103471267,0.082903864,0.063329105,0.050497904,0.039460655,0.029867994,0.024458063
162,0.103472202,0.082903272,0.063328214,0.050496955,0.039459807,0.029867254,0.024457438
163,0.103472647,0.082902735,0.063327323,0.050496006,0.03945896,0.029866514,0.024456814
164,0.103472593,0.082902247,0.063326457,0.050495057,0.039458113,0.029865774,0.024456189
165,0.103472621,0.08290164,0.063325535,0.050494108,0.039457265,0.029865034,0.024455565
166,0.103472868,0.082900993,0.063324644,0.050493235,0.039456418,0.029864294,0.024454941
167,0.103472962,0.082900306,0.06332383,0.050492286,0.039455571,0.029863554,0.024454316
168,0.103472989,0.082899766,0.063323005,0.050491459,0.039454917,0.029862814,0.024453692
169,0.103473033,0.082899201,0.063322184,0.050490618,0.03945407,0.029862075,0.024453068
170,0.103473564,0.082898893,0.063321397,0.050489669,0.039453223,0.029861335,0.024452443
171,0.103474367,0.082898496,0.063320542,0.05048872,0.039452376,0.029860595,0.024451819
172,0.103475016,0.082898177,0.063320006,0.050487982,0.039451529,0.029859856,0.024451195
173,0.10347548,0.082897457,0.063319084,0.050487033,0.039450682,0.029859116,0.024450571
174,0.10347618,0.082896989,0.063318298,0.050486085,0.039449835,0.029858376,0.024449947
175,0.103476489,0.08289637,0.063317432,0.050485136,0.039448988,0.029857637,0.024449323
176,0.103477123,0.082896032,0.063316569,0.050484264,0.039448141,0.029856897,0.024448699
177,0.103477601,0.082895706,0.063315921,0.050483437,0.039447294,0.029856158,0.024448075
178,0.10347798,0.082894978,0.063315025,0.050482489,0.039446448,0.029855419,0.024447451
179,0.103478098,0.082894334,0.063314461,0.050481623,0.039445601,0.029854679,0.024446827
180,0.103478897,0.082894142,0.063313683,0.050480798,0.039444754,0.02985394,0.024446203
181,0.103479038,0.082893328,0.063312761,0.050479849,0.039443907,0.0298532,0.024445579
182,0.103479637,0.082892629,0.06331194,0.0504789,0.03944306,0.029852461,0.024444955
183,0.103479827,0.082891953,0.063311009,0.050478029,0.039442214,0.029851722,0.024444331
184,0.103480573,0.082891429,0.063310165,0.05047708,0.039441367,0.029850983,0.024443707
185,0.103480598,0.082890614,0.063309401,0.050476208,0.03944052,0.029850243,0.024443083
186,0.103480987,0.08289015,0.063308623,0.050475383,0.039439673,0.029849504,0.02444246
187,0.103481704,0.082889734,0.063307768,0.050474597,0.039438827,0.029848765,0.024441836
188,0.103482633,0.082889137,0.063306942,0.050473649,0.03943798,0.029848026,0.024441212
189,0.103483086,0.082888715,0.063306194,0.0504727,0.039437133,0.029847286,0.024440588
190,0.103483354,0.082888174,0.063305264,0.050471752,0.039436286,0.029846547,0.024439965
191,0.103483824,0.082887724,0.063304408,0.050470912,0.03943544,0.029845808,0.024439341
192,0.103484109,0.082887059,0.063303564,0.050469963,0.039434593,0.029845069,0.024438717
193,0.103484203,0.082886375,0.063302673,0.050469015,0.039433747,0.02984433,0.024438094
194,0.103484551,0.082885842,0.063301743,0.050468066,0.0394329,0.029843591,0.02443747
195,0.103485086,0.08288562,0.063301011,0.0504672,0.039432053,0.029842852,0.024436847
196,0.103485708,0.082885116,0.063300145,0.050466252,0.039431207,0.029842113,0.024436223
197,0.103485882,0.082884616,0.063299332,0.050465303,0.03943036,0.029841374,0.024435599
198,0.103485949,0.082883827,0.063298402,0.050464354,0.039429513,0.029840635,0.024434976
199,0.103486138,0.082883011,0.063297471,0.050463483,0.039428666,0.029839897,0.024434353
200,0.103488098,0.082883028,0.063296805,0.050462671,0.03942782,0.029839158,0.024433729
201,0.103488349,0.082882527,0.063295875,0.050461799,0.039426973,0.029838419,0.024433106
202,0.10348886,0.082882287,0.063295095,0.050460851,0.039426127,0.02983768,0.024432482
203,0.10348972,0.082882126,0.063294598,0.050460116,0.03942528,0.029836941,0.024431859
204,0.103490213,0.082881841,0.063293773,0.050459167,0.039424433,0.029836203,0.024431236
205,0.103490395,0.08288119,0.063292851,0.050458218,0.039423587,0.029835464,0.024430612
206,0.103490539,0.082880642,0.063291929,0.05045727,0.03942274,0.029834725,0.024429989
207,0.103491389,0.082880088,0.063291184,0.050456321,0.039421894,0.029833987,0.024429366
208,0.103491776,0.082879337,0.063290254,0.050455373,0.039421047,0.029833248,0.024428743
209,0.103492392,0.082878966,0.063289409,0.050454424,0.039420201,0.029832509,0.024428119
210,0.103493071,0.082878329,0.063288746,0.050453679,0.039419603,0.029831771,0.024427496
211,0.103493521,0.08287769,0.063287959,0.05045273,0.039418757,0.029831032,0.024426873
212,0.103493834,0.082876966,0.063287037,0.050451782,0.03941791,0.029830294,0.02442625
213,0.103494418,0.082876492,0.06328635,0.050451035,0.039417064,0.029829556,0.024425627
214,0.103495087,0.082876333,0.063285724,0.050450086,0.039416218,0.029828817,0.024425004
215,0.103495786,0.082875806,0.063284987,0.050449318,0.039415371,0.029828079,0.024424381
216,0.103496055,0.082875168,0.063284174,0.050448369,0.039414525,0.029827341,0.024423758
217,0.103496271,0.082874485,0.063283278,0.050447421,0.039413679,0.029826602,0.024423135
218,0.103497036,0.082873971,0.06328267,0.05044655,0.039412832,0.029825864,0.024422512
219,0.103497324,0.082873268,0.063281739,0.050445678,0.039411986,0.029825126,0.024421889
220,0.103497885,0.082872832,0.063280816,0.05044473,0.03941114,0.029824387,0.024421266
221,0.10349856,0.082872174,0.063279894,0.050443781,0.039410293,0.029823649,0.024420643
222,0.10349926,0.082871827,0.063279003,0.05044291,0.039409447,0.029822911,0.024420021
223,0.103499961,0.082871404,0.063278072,0.050441961,0.039408601,0.029822173,0.024419398
224,0.103500268,0.082870952,0.063277265,0.050441012,0.039407755,0.029821435,0.024418775
225,0.103500441,0.082870343,0.063276369,0.050440172,0.039406908,0.029820696,0.024418152
226,0.10350071,0.082869863,0.063275607,0.050439224,0.039406062,0.029819958,0.024417529
227,0.103501195,0.082869261,0.063274828,0.050438275,0.039405216,0.02981922,0.024416907
