iteration,exp4,exp5,exp6,exp7,exp8,exp9,exp10
179,0.005873335,0.00882652,0.012282776,0.015237874,0.017914174,0.020469042,0.022116269
180,0.005873944,0.008827466,0.012284022,0.015239327,0.017915767,0.020470756,0.022118035
181,0.005874555,0.008828411,0.012285269,0.01524078,0.017917361,0.02047247,0.022119801
182,0.005875165,0.008829357,0.012286515,0.015242233,0.017918954,0.020474184,0.022121567
183,0.005875775,0.008830303,0.012287762,0.015243686,0.017920547,0.020475898,0.022123333
184,0.005876385,0.008831249,0.012289009,0.01524514,0.017922141,0.020477612,0.0221251
185,0.005876995,0.008832196,0.012290256,0.015246593,0.017923734,0.020479326,0.022126867
186,0.005877605,0.008833142,0.012291503,0.015248047,0.017925328,0.02048104,0.022128633
187,0.005878215,0.008834089,0.01229275,0.015249501,0.017926922,0.020482755,0.0221304
188,0.005878826,0.008835035,0.012293997,0.015250954,0.017928516,0.020484469,0.022132166
189,0.005879436,0.008835982,0.012295244,0.015252408,0.017930109,0.020486183,0.022133933
190,0.005880046,0.008836928,0.012296491,0.015253861,0.017931703,0.020487898,0.0221357
191,0.005880657,0.008837875,0.012297738,0.015255315,0.017933297,0.020489612,0.022137466
192,0.005881267,0.008838822,0.012298985,0.015256768,0.017934891,0.020491326,0.022139233
193,0.005881877,0.008839768,0.012300233,0.015258222,0.017936484,0.020493041,0.022140999
194,0.005882488,0.008840715,0.01230148,0.015259676,0.017938078,0.020494755,0.022142766
195,0.005883099,0.008841662,0.012302727,0.01526113,0.017939673,0.02049647,0.022144533
196,0.00588371,0.00884261,0.012303975,0.015262584,0.017941267,0.020498185,0.0221463
197,0.00588432,0.008843557,0.012305223,0.015264038,0.017942861,0.0204999,0.022148067
198,0.005884932,0.008844504,0.012306471,0.015265493,0.017944456,0.020501615,0.022149835
199,0.005885543,0.008845452,0.012307719,0.015266947,0.017946051,0.02050333,0.022151602
200,0.005886154,0.008846399,0.012308967,0.015268402,0.017947646,0.020505045,0.02215337
201,0.005886765,0.008847347,0.012310215,0.015269857,0.017949241,0.020506761,0.022155137
202,0.005887377,0.008848295,0.012311463,0.015271312,0.017950836,0.020508476,0.022156905
203,0.005887988,0.008849243,0.012312711,0.015272766,0.017952431,0.020510192,0.022158673
204,0.0058886,0.008850191,0.01231396,0.015274222,0.017954026,0.020511907,0.022160441
205,0.005889211,0.008851139,0.012315209,0.015275677,0.017955621,0.020513623,0.022162209
206,0.005889823,0.008852087,0.012316457,0.015277132,0.017957217,0.020515339,0.022163977
207,0.005890435,0.008853036,0.012317706,0.015278587,0.017958812,0.020517055,0.022165745
208,0.005891046,0.008853984,0.012318955,0.015280042,0.017960408,0.02051877,0.022167513
209,0.005891658,0.008854932,0.012320203,0.015281498,0.017962003,0.020520486,0.022169281
210,0.00589227,0.008855881,0.012321452,0.015282953,0.017963599,0.020522202,0.022171049
211,0.005892882,0.008856829,0.012322701,0.015284409,0.017965194,0.020523918,0.022172817
212,0.005893494,0.008857778,0.012323951,0.015285864,0.01796679,0.020525635,0.022174586
213,0.005894106,0.008858727,0.0123252,0.01528732,0.017968386,0.020527351,0.022176354
214,0.005894719,0.008859676,0.012326449,0.015288776,0.017969982,0.020529067,0.022178122
215,0.005895331,0.008860624,0.012327698,0.015290232,0.017971578,0.020530783,0.022179891
216,0.005895943,0.008861573,0.012328948,0.015291687,0.017973174,0.020532499,0.022181659
217,0.005896555,0.008862522,0.012330197,0.015293143,0.017974769,0.020534215,0.022183428
218,0.005897167,0.008863471,0.012331446,0.015294599,0.017976365,0.020535932,0.022185196
219,0.005897779,0.00886442,0.012332695,0.015296055,0.017977961,0.020537648,0.022186964
220,0.005898392,0.008865369,0.012333945,0.015297511,0.017979557,0.020539364,0.022188733
221,0.005899004,0.008866319,0.012335195,0.015298967,0.017981154,0.020541081,0.022190502
222,0.005899617,0.008867268,0.012336445,0.015300423,0.01798275,0.020542797,0.022192271
223,0.005900229,0.008868218,0.012337695,0.01530188,0.017984347,0.020544514,0.02219404
224,0.005900842,0.008869167,0.012338945,0.015303337,0.017985943,0.020546231,0.022195809
225,0.005901455,0.008870117,0.012340195,0.015304793,0.01798754,0.020547948,0.022197578
226,0.005902067,0.008871067,0.012341445,0.01530625,0.017989136,0.020549665,0.022199347
227,0.00590268,0.008872016,0.012342695,0.015307706,0.017990733,0.020551381,0.022201116
228,0.005903293,0.008872966,0.012343945,0.015309163,0.017992329,0.020553098,0.022202884
229,0.005903906,0.008873916,0.012345195,0.015310619,0.017993926,0.020554815,0.022204653
230,0.005904518,0.008874866,0.012346445,0.015312076,0.017995523,0.020556532,0.022206422
231,0.005905131,0.008875816,0.012347696,0.015313533,0.017997119,0.020558249,0.022208191
232,0.005905744,0.008876766,0.012348946,0.01531499,0.017998716,0.020559966,0.022209961
233,0.005906357,0.008877716,0.012350196,0.015316446,0.018000313,0.020561682,0.02221173
234,0.005906969,0.008878666,0.012351447,0.015317903,0.018001909,0.020563399,0.022213499
235,0.005907582,0.008879616,0.012352697,0.01531936,0.018003506,0.020565116,0.022215267
236,0.005908195,0.008880566,0.012353947,0.015320817,0.018005103,0.020566833,0.022217036
237,0.005908808,0.008881516,0.012355197,0.015322273,0.018006699,0.02056855,0.022218805
238,0.005909421,0.008882466,0.012356448,0.01532373,0.018008296,0.020570266,0.022220574
239,0.005910034,0.008883416,0.012357698,0.015325187,0.018009892,0.020571983,0.022222343
240,0.005910647,0.008884366,0.012358948,0.015326644,0.018011489,0.0205737,0.022224112
241,0.00591126,0.008885316,0.012360199,0.0153281,0.018013086,0.020575417,0.022225881
242,0.005911873,0.008886267,0.012361449,0.015329557,0.018014683,0.020577134,0.02222765
243,0.005912486,0.008887217,0.0123627,0.015331014,0.018016279,0.02057885,0.022229419
244,0.005913099,0.008888167,0.01236395,0.015332471,0.018017876,0.020580567,0.022231188
245,0.005913712,0.008889118,0.012365201,0.015333928,0.018019473,0.020582284,0.022232957
246,0.005914326,0.008890068,0.012366451,0.015335385,0.018021069,0.020584001,0.022234726
247,0.005914939,0.008891019,0.012367702,0.015336842,0.018022666,0.020585718,0.022236495
248,0.005915552,0.008891969,0.012368952,0.015338299,0.018024263,0.020587435,0.022238264
249,0.005916166,0.00889292,0.012370203,0.015339756,0.01802586,0.020589152,0.022240032
250,0.005916779,0.00889387,0.012371453,0.015341213,0.018027457,0.020590868,0.022241801
251,0.005917392,0.008894821,0.012372704,0.01534267,0.018029053,0.020592585,0.02224357
252,0.005918006,0.008895772,0.012373955,0.015344127,0.01803065,0.020594302,0.022245339
253,0.00591862,0.008896722,0.012375206,0.015345584,0.018032247,0.020596019,0.022247108
254,0.005919233,0.008897673,0.012376457,0.015347042,0.018033844,0.020597736,0.022248878
255,0.005919847,0.008898624,0.012377708,0.015348499,0.018035442,0.020599454,0.022250647
256,0.005920461,0.008899575,0.012378959,0.015349957,0.018037039,0.020601171,0.022252416
257,0.005921074,0.008900526,0.01238021,0.015351414,0.018038636,0.020602888,0.022254186
258,0.005921688,0.008901477,0.012381462,0.015352872,0.018040233,0.020604605,0.022255955
259,0.005922302,0.008902428,0.012382713,0.015354329,0.018041831,0.020606323,0.022257724
260,0.005922916,0.008903379,0.012383964,0.015355787,0.018043428,0.02060804,0.022259494
261,0.00592353,0.008904331,0.012385216,0.015357245,0.018045026,0.020609757,0.022261263
262,0.005924144,0.008905282,0.012386468,0.015358703,0.018046624,0.020611475,0.022263033
263,0.005924758,0.008906233,0.012387719,0.015360161,0.018048221,0.020613193,0.022264803
264,0.005925372,0.008907185,0.012388971,0.015361619,0.018049819,0.02061491,0.022266572
265,0.005925985,0.008908136,0.012390223,0.015363078,0.018051417,0.020616628,0.022268342
266,0.0059266,0.008909088,0.012391475,0.015364536,0.018053014,0.020618346,0.022270112
267,0.005927214,0.008910039,0.012392727,0.015365994,0.018054612,0.020620064,0.022271882
268,0.005927828,0.008910991,0.012393979,0.015367452,0.01805621,0.020621781,0.022273651
269,0.005928442,0.008911943,0.012395231,0.015368911,0.018057808,0.020623499,0.022275421
270,0.005929056,0.008912895,0.012396483,0.015370369,0.018059406,0.020625217,0.022277191
271,0.005929671,0.008913847,0.012397735,0.015371828,0.018061004,0.020626935,0.022278961
272,0.005930285,0.008914799,0.012398987,0.015373287,0.018062603,0.020628653,0.022280732
273,0.0059309,0.008915751,0.01240024,0.015374745,0.018064201,0.020630372,0.022282502
274,0.005931514,0.008916704,0.012401492,0.015376204,0.0180658,0.02063209,0.022284272
275,0.005932129,0.008917656,0.012402745,0.015377663,0.018067398,0.020633808,0.022286042
276,0.005932743,0.008918609,0.012403998,0.015379122,0.018068997,0.020635527,0.022287813
277,0.005933358,0.008919561,0.01240525,0.015380581,0.018070595,0.020637245,0.022289583
278,0.005933972,0.008920513,0.012406503,0.01538204,0.018072194,0.020638963,0.022291353
279,0.005934587,0.008921466,0.012407755,0.015383499,0.018073792,0.020640681,0.022293124
280,0.005935202,0.008922419,0.012409008,0.015384958,0.018075391,0.0206424,0.022294894
281,0.005935816,0.008923371,0.012410261,0.015386417,0.018076989,0.020644118,0.022296664
282,0.005936431,0.008924324,0.012411513,0.015387876,0.018078588,0.020645836,0.022298435
283,0.005937045,0.008925276,0.012412766,0.015389335,0.018080186,0.020647554,0.022300205
284,0.00593766,0.008926229,0.012414018,0.015390794,0.018081785,0.020649273,0.022301975
285,0.005938275,0.008927182,0.012415271,0.015392253,0.018083383,0.020650991,0.022303745
286,0.00593889,0.008928135,0.012416524,0.015393712,0.018084982,0.020652709,0.022305515
287,0.005939505,0.008929087,0.012417777,0.015395171,0.01808658,0.020654427,0.022307286
288,0.00594012,0.00893004,0.01241903,0.01539663,0.018088179,0.020656146,0.022309056
289,0.005940734,0.008930993,0.012420283,0.01539809,0.018089778,0.020657864,0.022310826
290,0.005941349,0.008931946,0.012421535,0.015399549,0.018091376,0.020659583,0.022312597
291,0.005941964,0.008932899,0.012422788,0.015401008,0.018092975,0.020661301,0.022314367
292,0.00594258,0.008933852,0.012424041,0.015402467,0.018094574,0.020663019,0.022316137
293,0.005943195,0.008934805,0.012425294,0.015403926,0.018096172,0.020664738,0.022317908
294,0.00594381,0.008935758,0.012426547,0.015405386,0.018097771,0.020666456,0.022319678
295,0.005944425,0.008936711,0.0124278,0.015406845,0.01809937,0.020668174,0.022321448
296,0.00594504,0.008937664,0.012429053,0.015408304,0.018100968,0.020669892,0.022323218
297,0.005945655,0.008938617,0.012430306,0.015409763,0.018102567,0.02067161,0.022324988
298,0.005946271,0.00893957,0.012431559,0.015411222,0.018104165,0.020673329,0.022326759
299,0.005946886,0.008940523,0.012432812,0.015412682,0.018105764,0.020675047,0.022328529
300,0.005947501,0.008941477,0.012434065,0.015414141,0.018107363,0.020676765,0.022330299
301,0.005948117,0.00894243,0.012435318,0.015415601,0.018108962,0.020678484,0.02233207
302,0.005948732,0.008943383,0.012436571,0.01541706,0.018110561,0.020680202,0.02233384
303,0.005949348,0.008944337,0.012437825,0.01541852,0.01811216,0.020681921,0.02233561
304,0.005949963,0.00894529,0.012439078,0.01541998,0.018113759,0.020683639,0.022337381
305,0.005950579,0.008946244,0.012440332,0.015421439,0.018115358,0.020685358,0.022339152
306,0.005951194,0.008947197,0.012441585,0.015422899,0.018116957,0.020687076,0.022340922
307,0.00595181,0.008948151,0.012442839,0.015424359,0.018118556,0.020688795,0.022342692
308,0.005952426,0.008949104,0.012444092,0.015425818,0.018120155,0.020690513,0.022344463
309,0.005953041,0.008950058,0.012445346,0.015427278,0.018121754,0.020692232,0.022346234
310,0.005953657,0.008951012,0.0124466,0.015428738,0.018123354,0.020693951,0.022348004
311,0.005954273,0.008951966,0.012447854,0.015430199,0.018124953,0.02069567,0.022349776
312,0.00595489,0.00895292,0.012449108,0.015431659,0.018126553,0.02069739,0.022351547
313,0.005955506,0.008953874,0.012450363,0.01543312,0.018128153,0.020699109,0.022353318
314,0.005956122,0.008954828,0.012451617,0.015434581,0.018129753,0.020700829,0.02235509
315,0.005956738,0.008955783,0.012452872,0.015436041,0.018131353,0.020702548,0.022356861
316,0.005957354,0.008956737,0.012454126,0.015437502,0.018132953,0.020704267,0.022358632
